service_id,date,exception_type
6074:TEC:BW:38,20180810,1
6074:TEC:BW:38,20180813,1
6074:TEC:BW:38,20180814,1
6074:TEC:BW:38,20180817,1
6074:TEC:BW:38,20180820,1
6074:TEC:BW:38,20180821,1
6074:TEC:BW:38,20180822,1
6074:TEC:BW:38,20180824,1
6074:TEC:BW:11,20180528,1
6074:TEC:BW:11,20180529,1
6074:TEC:BW:10,20180531,1
6074:TEC:BW:13,20180601,1
6074:TEC:BW:13,20180604,1
6074:TEC:BW:13,20180605,1
6074:TEC:BW:13,20180607,1
6074:TEC:BW:13,20180608,1
6074:TEC:BW:13,20180611,1
6074:TEC:BW:13,20180612,1
6074:TEC:BW:13,20180614,1
6074:TEC:BW:13,20180615,1
6074:TEC:BW:13,20180618,1
6074:TEC:BW:13,20180619,1
6074:TEC:BW:13,20180621,1
6074:TEC:BW:13,20180622,1
6074:TEC:BW:13,20180625,1
6074:TEC:BW:13,20180626,1
6074:TEC:BW:13,20180628,1
6074:TEC:BW:13,20180629,1
6074:TEC:BW:12,20180530,1
6074:TEC:BW:15,20180604,1
6074:TEC:BW:15,20180611,1
6074:TEC:BW:15,20180618,1
6074:TEC:BW:15,20180625,1
6074:TEC:BW:14,20180601,1
6074:TEC:BW:14,20180605,1
6074:TEC:BW:14,20180607,1
6074:TEC:BW:14,20180608,1
6074:TEC:BW:14,20180612,1
6074:TEC:BW:14,20180614,1
6074:TEC:BW:14,20180615,1
6074:TEC:BW:14,20180619,1
6074:TEC:BW:14,20180621,1
6074:TEC:BW:14,20180622,1
6074:TEC:BW:14,20180626,1
6074:TEC:BW:14,20180628,1
6074:TEC:BW:14,20180629,1
6074:TEC:BW:17,20180605,1
6074:TEC:BW:17,20180612,1
6074:TEC:BW:17,20180619,1
6074:TEC:BW:17,20180626,1
6074:TEC:BW:16,20180601,1
6074:TEC:BW:16,20180608,1
6074:TEC:BW:16,20180615,1
6074:TEC:BW:16,20180622,1
6074:TEC:BW:16,20180629,1
6074:TEC:BW:9,20180528,1
6074:TEC:BW:9,20180529,1
6074:TEC:BW:8,20180528,1
6074:TEC:BW:8,20180531,1
6074:TEC:BW:54,20180705,1
6074:TEC:BW:54,20180712,1
6074:TEC:BW:54,20180719,1
6074:TEC:BW:54,20180726,1
6074:TEC:BW:54,20180802,1
6074:TEC:BW:54,20180809,1
6074:TEC:BW:54,20180816,1
